Designator,Comment,Footprint,Quantity,MN

"C1, C2, C3","1uF","Z_0603_C","3","0603B105K160CT, CL10A106MO8NQNC"
"IC1","ESP32-S2-MINI-1-N4","ESP32S2MINI1N4","1","ESP32-S2-MINI-1-N4"
"J1","USB4800-03-A","USB480003A","1","USB4800-03-A"
"J2","FTDI","TUSKE1X6_2.54MM","1",""
"J3","IO3","SMD_PAD","1",""
"J4","IO4","SMD_PAD","1",""
"J5","IO5","SMD_PAD","1",""
"J6","IO6","SMD_PAD","1",""
"J7","IO7","SMD_PAD","1",""
"J8","IO8","SMD_PAD","1",""
"J9","IO9","SMD_PAD","1",""
"J10","IO10","SMD_PAD","1",""
"J11","GND","SMD_PAD","1",""
"J12","+3V3","SMD_PAD","1",""
"J13","+5","SMD_PAD","1",""
"J14","TX","SMD_PAD","1",""
"J15","RX","SMD_PAD","1",""
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24, LED25","WS2812-2020","WS28122020","25","WS2812B-2020"
"PB1","DTSM31N-F","dtsm3","1","DTSM31N-F"
"R1, R3","10k","z_0603_r","2","CQ03SAJ0103T5E"
"R2","10R","z_0603_r","1","CQ03SAJ0100T5E"
"U1","AMS1117-3.3","FP-AMS1117-IPC_C","1","AZ1117H-3.3TRE1"
