Altium Designer Pick and Place Locations
C:\Dropbox\2_ZANE_TERV\ZANE_termekek\_product_archives\kari_2v\kari2v3\Project Outputs for Oblito+bide\Pick Place for ChristmasTree_x3_panellized.csv

========================================================================================================================
File Design Information:

Date:       24/11/23
Time:       16:15
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J15","RX","BottomLayer","SMD_PAD","173.7377","166.7870","90",""
"J14","TX","BottomLayer","SMD_PAD","171.1977","166.7870","90",""
"J13","+5","BottomLayer","SMD_PAD","166.1177","166.7870","90",""
"J12","+3V3","BottomLayer","SMD_PAD","176.2777","166.7870","90",""
"J11","GND","BottomLayer","SMD_PAD","168.6577","166.7870","270",""
"J10","IO10","BottomLayer","SMD_PAD","166.1177","174.4070","90",""
"J9","IO9","BottomLayer","SMD_PAD","167.3877","176.9470","270",""
"C3","10uF 16V","TopLayer","Z_0603_C","173.7077","182.0470","180","=Value"
"C2","1uF 16V","TopLayer","Z_0603_C","178.9077","163.2470","180","=Value"
"J8","IO8","BottomLayer","SMD_PAD","168.6577","174.4070","270",""
"J7","IO7","BottomLayer","SMD_PAD","169.9277","176.9470","270",""
"J6","IO6","BottomLayer","SMD_PAD","171.1977","174.4070","270",""
"J5","IO5","BottomLayer","SMD_PAD","172.4677","176.9470","270",""
"J4","IO4","BottomLayer","SMD_PAD","173.7377","174.4070","270",""
"J3","IO3","BottomLayer","SMD_PAD","175.0077","176.9470","270",""
"U1","AMS1117-3.3","TopLayer","FP-AMS1117-IPC_C","150.1879","165.8130","360","LDO Voltage Regulators 1A, 3.3V"
"R3","10k","TopLayer","z_0603_r","181.6077","163.2470","180",""
"C1","1uF 16V","TopLayer","Z_0603_C","144.5745","163.5778","180","=Value"
"R2","10R","TopLayer","z_0603_r","177.5183","188.7238","0",""
"J2","FTDI","TopLayer","TUSKE1X6_2.54MM","172.4383","161.7236","180",""
"R1","10k","TopLayer","z_0603_r","155.2933","166.6004","270",""
"J1","USB4800-03-A","TopLayer","USB480003A","151.9350","155.4470","270","Connector"
"LED25","WS2812-2020","TopLayer","WS28122020","157.2237","250.9030","225","LED"
"LED24","WS2812-2020","TopLayer","WS28122020","154.0487","253.1890","90","LED"
"LED23","WS2812-2020","TopLayer","WS28122020","151.0007","250.9030","135","LED"
"LED22","WS2812-2020","TopLayer","WS28122020","143.0077","233.5470","180","LED"
"LED21","WS2812-2020","TopLayer","WS28122020","149.9077","232.6470","180","LED"
"LED20","WS2812-2020","TopLayer","WS28122020","156.7077","234.0470","180","LED"
"LED19","WS2812-2020","TopLayer","WS28122020","162.7077","238.1470","180","LED"
"LED18","WS2812-2020","TopLayer","WS28122020","135.8077","216.1970","180","LED"
"LED17","WS2812-2020","TopLayer","WS28122020","143.0077","215.0470","180","LED"
"LED16","WS2812-2020","TopLayer","WS28122020","150.4077","215.6470","180","LED"
"LED15","WS2812-2020","TopLayer","WS28122020","157.8077","218.3470","180","LED"
"LED14","WS2812-2020","TopLayer","WS28122020","164.0227","222.6470","180","LED"
"LED13","WS2812-2020","TopLayer","WS28122020","129.8077","193.7470","180","LED"
"LED12","WS2812-2020","TopLayer","WS28122020","137.5926","192.3970","180","LED"
"LED11","WS2812-2020","TopLayer","WS28122020","146.6227","192.5970","180","LED"
"LED10","WS2812-2020","TopLayer","WS28122020","155.0927","195.1970","180","LED"
"LED9","WS2812-2020","TopLayer","WS28122020","163.1077","199.6470","180","LED"
"LED8","WS2812-2020","TopLayer","WS28122020","169.4077","205.4470","180","LED"
"LED7","WS2812-2020","TopLayer","WS28122020","124.3077","171.9470","180","LED"
"LED6","WS2812-2020","TopLayer","WS28122020","131.7077","169.5470","180","LED"
"LED5","WS2812-2020","TopLayer","WS28122020","142.7711","170.0548","180","LED"
"LED4","WS2812-2020","TopLayer","WS28122020","153.2359","172.6710","180","LED"
"LED3","WS2812-2020","TopLayer","WS28122020","161.7455","177.7676","180","LED"
"LED2","WS2812-2020","TopLayer","WS28122020","170.1275","184.3892","180","LED"
"LED1","WS2812-2020","TopLayer","WS28122020","177.3913","191.0098","180","LED"
"GOMB1","B3FS-1000","TopLayer","dtsm3","158.1889","166.1102","90","Push Button"
"IC1","ESP32-S2-MINI-1-N4","TopLayer","ESP32S2MINI1N4","173.0837","171.6196","270","Integrated Circuit"
"J15","RX","BottomLayer","SMD_PAD","303.7389","166.7870","90",""
"J14","TX","BottomLayer","SMD_PAD","301.1989","166.7870","90",""
"J13","+5","BottomLayer","SMD_PAD","296.1189","166.7870","90",""
"J12","+3V3","BottomLayer","SMD_PAD","306.2789","166.7870","90",""
"J11","GND","BottomLayer","SMD_PAD","298.6589","166.7870","270",""
"J10","IO10","BottomLayer","SMD_PAD","296.1189","174.4070","90",""
"J9","IO9","BottomLayer","SMD_PAD","297.3889","176.9470","270",""
"C3","10uF 16V","TopLayer","Z_0603_C","303.7089","182.0470","180","=Value"
"C2","1uF 16V","TopLayer","Z_0603_C","308.9089","163.2470","180","=Value"
"J8","IO8","BottomLayer","SMD_PAD","298.6589","174.4070","270",""
"J7","IO7","BottomLayer","SMD_PAD","299.9289","176.9470","270",""
"J6","IO6","BottomLayer","SMD_PAD","301.1989","174.4070","270",""
"J5","IO5","BottomLayer","SMD_PAD","302.4689","176.9470","270",""
"J4","IO4","BottomLayer","SMD_PAD","303.7389","174.4070","270",""
"J3","IO3","BottomLayer","SMD_PAD","305.0089","176.9470","270",""
"U1","AMS1117-3.3","TopLayer","FP-AMS1117-IPC_C","280.1891","165.8130","360","LDO Voltage Regulators 1A, 3.3V"
"R3","10k","TopLayer","z_0603_r","311.6089","163.2470","180",""
"C1","1uF 16V","TopLayer","Z_0603_C","274.5757","163.5778","180","=Value"
"R2","10R","TopLayer","z_0603_r","307.5195","188.7238","0",""
"J2","FTDI","TopLayer","TUSKE1X6_2.54MM","302.4395","161.7236","180",""
"R1","10k","TopLayer","z_0603_r","285.2945","166.6004","270",""
"J1","USB4800-03-A","TopLayer","USB480003A","281.9362","155.4470","270","Connector"
"LED25","WS2812-2020","TopLayer","WS28122020","287.2249","250.9030","225","LED"
"LED24","WS2812-2020","TopLayer","WS28122020","284.0499","253.1890","90","LED"
"LED23","WS2812-2020","TopLayer","WS28122020","281.0019","250.9030","135","LED"
"LED22","WS2812-2020","TopLayer","WS28122020","273.0089","233.5470","180","LED"
"LED21","WS2812-2020","TopLayer","WS28122020","279.9089","232.6470","180","LED"
"LED20","WS2812-2020","TopLayer","WS28122020","286.7089","234.0470","180","LED"
"LED19","WS2812-2020","TopLayer","WS28122020","292.7089","238.1470","180","LED"
"LED18","WS2812-2020","TopLayer","WS28122020","265.8089","216.1970","180","LED"
"LED17","WS2812-2020","TopLayer","WS28122020","273.0089","215.0470","180","LED"
"LED16","WS2812-2020","TopLayer","WS28122020","280.4089","215.6470","180","LED"
"LED15","WS2812-2020","TopLayer","WS28122020","287.8089","218.3470","180","LED"
"LED14","WS2812-2020","TopLayer","WS28122020","294.0239","222.6470","180","LED"
"LED13","WS2812-2020","TopLayer","WS28122020","259.8089","193.7470","180","LED"
"LED12","WS2812-2020","TopLayer","WS28122020","267.5939","192.3970","180","LED"
"LED11","WS2812-2020","TopLayer","WS28122020","276.6239","192.5970","180","LED"
"LED10","WS2812-2020","TopLayer","WS28122020","285.0939","195.1970","180","LED"
"LED9","WS2812-2020","TopLayer","WS28122020","293.1089","199.6470","180","LED"
"LED8","WS2812-2020","TopLayer","WS28122020","299.4089","205.4470","180","LED"
"LED7","WS2812-2020","TopLayer","WS28122020","254.3089","171.9470","180","LED"
"LED6","WS2812-2020","TopLayer","WS28122020","261.7089","169.5470","180","LED"
"LED5","WS2812-2020","TopLayer","WS28122020","272.7723","170.0548","180","LED"
"LED4","WS2812-2020","TopLayer","WS28122020","283.2371","172.6710","180","LED"
"LED3","WS2812-2020","TopLayer","WS28122020","291.7467","177.7676","180","LED"
"LED2","WS2812-2020","TopLayer","WS28122020","300.1287","184.3892","180","LED"
"LED1","WS2812-2020","TopLayer","WS28122020","307.3925","191.0098","180","LED"
"GOMB1","B3FS-1000","TopLayer","dtsm3","288.1901","166.1102","90","Push Button"
"IC1","ESP32-S2-MINI-1-N4","TopLayer","ESP32S2MINI1N4","303.0849","171.6196","270","Integrated Circuit"
"J15","RX","BottomLayer","SMD_PAD","200.2214","235.0570","270",""
"J14","TX","BottomLayer","SMD_PAD","202.7614","235.0570","270",""
"J13","+5","BottomLayer","SMD_PAD","207.8414","235.0570","270",""
"J12","+3V3","BottomLayer","SMD_PAD","197.6814","235.0570","270",""
"J11","GND","BottomLayer","SMD_PAD","205.3014","235.0570","90",""
"J10","IO10","BottomLayer","SMD_PAD","207.8414","227.4370","270",""
"J9","IO9","BottomLayer","SMD_PAD","206.5714","224.8970","90",""
"C3","10uF 16V","TopLayer","Z_0603_C","200.2514","219.7970","360","=Value"
"C2","1uF 16V","TopLayer","Z_0603_C","195.0514","238.5970","360","=Value"
"J8","IO8","BottomLayer","SMD_PAD","205.3014","227.4370","90",""
"J7","IO7","BottomLayer","SMD_PAD","204.0314","224.8970","90",""
"J6","IO6","BottomLayer","SMD_PAD","202.7614","227.4370","90",""
"J5","IO5","BottomLayer","SMD_PAD","201.4914","224.8970","90",""
"J4","IO4","BottomLayer","SMD_PAD","200.2214","227.4370","90",""
"J3","IO3","BottomLayer","SMD_PAD","198.9514","224.8970","90",""
"U1","AMS1117-3.3","TopLayer","FP-AMS1117-IPC_C","223.7712","236.0310","180","LDO Voltage Regulators 1A, 3.3V"
"R3","10k","TopLayer","z_0603_r","192.3514","238.5970","360",""
"C1","1uF 16V","TopLayer","Z_0603_C","229.3846","238.2662","360","=Value"
"R2","10R","TopLayer","z_0603_r","196.4408","213.1202","180",""
"J2","FTDI","TopLayer","TUSKE1X6_2.54MM","201.5208","240.1204","360",""
"R1","10k","TopLayer","z_0603_r","218.6658","235.2436","90",""
"J1","USB4800-03-A","TopLayer","USB480003A","222.0241","246.3970","90","Connector"
"LED25","WS2812-2020","TopLayer","WS28122020","216.7354","150.9410","45","LED"
"LED24","WS2812-2020","TopLayer","WS28122020","219.9104","148.6550","270","LED"
"LED23","WS2812-2020","TopLayer","WS28122020","222.9584","150.9410","315","LED"
"LED22","WS2812-2020","TopLayer","WS28122020","230.9514","168.2970","360","LED"
"LED21","WS2812-2020","TopLayer","WS28122020","224.0514","169.1970","360","LED"
"LED20","WS2812-2020","TopLayer","WS28122020","217.2514","167.7970","360","LED"
"LED19","WS2812-2020","TopLayer","WS28122020","211.2514","163.6970","360","LED"
"LED18","WS2812-2020","TopLayer","WS28122020","238.1514","185.6470","360","LED"
"LED17","WS2812-2020","TopLayer","WS28122020","230.9514","186.7970","360","LED"
"LED16","WS2812-2020","TopLayer","WS28122020","223.5514","186.1970","360","LED"
"LED15","WS2812-2020","TopLayer","WS28122020","216.1514","183.4970","360","LED"
"LED14","WS2812-2020","TopLayer","WS28122020","209.9364","179.1970","360","LED"
"LED13","WS2812-2020","TopLayer","WS28122020","244.1514","208.0970","360","LED"
"LED12","WS2812-2020","TopLayer","WS28122020","236.3664","209.4470","360","LED"
"LED11","WS2812-2020","TopLayer","WS28122020","227.3364","209.2470","360","LED"
"LED10","WS2812-2020","TopLayer","WS28122020","218.8664","206.6470","360","LED"
"LED9","WS2812-2020","TopLayer","WS28122020","210.8514","202.1970","360","LED"
"LED8","WS2812-2020","TopLayer","WS28122020","204.5514","196.3970","360","LED"
"LED7","WS2812-2020","TopLayer","WS28122020","249.6514","229.8970","360","LED"
"LED6","WS2812-2020","TopLayer","WS28122020","242.2514","232.2970","360","LED"
"LED5","WS2812-2020","TopLayer","WS28122020","231.1880","231.7892","360","LED"
"LED4","WS2812-2020","TopLayer","WS28122020","220.7232","229.1730","360","LED"
"LED3","WS2812-2020","TopLayer","WS28122020","212.2136","224.0764","360","LED"
"LED2","WS2812-2020","TopLayer","WS28122020","203.8316","217.4548","360","LED"
"LED1","WS2812-2020","TopLayer","WS28122020","196.5678","210.8342","360","LED"
"GOMB1","B3FS-1000","TopLayer","dtsm3","215.7702","235.7338","270","Push Button"
"IC1","ESP32-S2-MINI-1-N4","TopLayer","ESP32S2MINI1N4","200.8754","230.2244","90","Integrated Circuit"
